Starting Ability 1|Starting Ability 1
Starting Ability 2|Starting Ability 2
Starting Ability 3|Starting Ability 3
Ability 0|Ability 0
Ability 1|Ability 1
Ability 2|Ability 2
Ability 10|Ability 10
Ability 12|Ability 12
Ability 14|Ability 14
Ability 15|Ability 15
Ability 16|Ability 16
Ability 17|Ability 16
Blue Resonance Gem|Blue Resonance Gem
Red Resonance Gem|Red Resonance Gem
Green Resonance Gem|Green Resonance Gem
Yellow Resonance Gem|Yellow Resonance Gem
White Resonance Gem|White Resonance Gem
Rainbow Resonance Gem|Equip cave12 RainbowKey 1
Challenge 1 Giant Augment|challenge00 0equip
Challenge 2 Key 1|challenge01 0key
Challenge 2 Wetsuit|challenge01b 0equip
Challenge 3 Spectral Vest|challenge02 0equip
Challenge 4 Warrior Pendant|challenge03 0equip
Challenge 5 Ring|challenge04 0equip
Challenge 6 Chest 1 Item 1|challenge05 0
Challenge 6 Scrap Augment|challenge05 0equip
Glade Key 1|intro01 0key
Glade Key 2|intro05 0key
Glade Key 3|intro06 0key
Glade Key 4|intro06 1key
Glade Key 5|intro07 0key
Glade Key 6|intro07b 0key
Glade Key 7|intro07b 1key
Glade Key 8|intro08c 0key
Glade Key 9|intro08c 1key
Glade Chest 1 Item 1|intro01b 0
Glade Chest 1 Item 2|intro01b 0
Glade Chest 1 Item 3|intro01b 0
Glade Chest 2 Item 1|intro05 0
Glade Chest 2 Item 2|intro05 0
Glade Chest 2 Item 3|intro05 0
Glade Chest 3 Item 1|intro07b 0
Glade Chest 3 Item 2|intro07b 0
Glade Chest 3 Item 3|intro07b 0
Glade Chest 4 Item 1|intro02b 0
Glade Chest 4 Item 2|intro02b 0
Glade Chest 4 Item 3|intro02b 0
Glade Wall 1|intro01b 0wall
Glade Wall 2|intro01b 1wall
Glade Wall 3|intro05 0wall
Glade Wall 4|intro06 0wall
Glade Wall 5|intro06 1wall
Glade Wall 6|intro02b 0wall
Glade Wall 7|intro07b 0wall
Glade Wall 8|intro07b 1wall
Glade Wall 9|intro08 0wall
Glade Wall 10|intro08 1wall
Glade Wall 11|intro08b 0wall
Glade Wall 12|intro08b 1wall
Glade Wall 13|intro02b 1wall
Glade Wall 14|intro08c 0wall
Glade Wall 15|intro08c 1wall
Glade Fidget Feeble Fruit Gift 1|Equip intro02 0 5
Glade Fidget Feeble Fruit Gift 2|Equip intro02 0 5
Glade Fidget Feeble Fruit Gift 3|Equip intro02 0 5
Glade Fidget Feeble Fruit Gift 4|Equip intro02 0 5
Glade Fidget Feeble Fruit Gift 5|Equip intro02 0 5
Glade Shopkeeper Blueprint Gift|Blueprint intro07b 190 1
Sanctuary Standing Item|sanc02 0equip
Village Key 1|village05 0key
Village Key 2|village05 1key
Village Wall 1|village05 0wall
Village Chest 1 Item 1|village02 0
Village Chest 1 Item 2|village02 0
Village Chest 1 Item 3|village02 0
Village Chest 1 Item 4|village02 0
Village Chest 1 Item 5|village02 0
Village Chest 2 Item 1|village03 0
Village Chest 2 Item 2|village03 0
Village Chest 2 Item 3|village03 0
Village Fidget Doll 1|Equip village03 307 2
Village Fidget Doll 2|Equip village03 307 2
Village Hotdog 1|Equip village03 16 3
Village Hotdog 2|Equip village03 16 3
Village Hotdog 3|Equip village03 16 3
Village Birthday Cake 1|Equip village02alt0 BirthdayCake 2
Village Birthday Cake 2|Equip village02alt0 BirthdayCake 2
Village Revival Stone 1|Equip village02alt0 301 2
Village Revival Stone 2|Equip village02alt0 301 2
Village NPC Blueprint Gift|Blueprint village01 128 1
Village Key Gift 1|Equip village01 TreasureKey 3
Village Key Gift 2|Equip village01 TreasureKey 3
Village Key Gift 3|Equip village01 TreasureKey 3
Ivydale Key 1|ivy01 0key
Ivydale Key 2|ivy01 1key
Ivydale Wall 1|ivy01 0wall
Ivydale Wall 2|ivy01 1wall
Ivydale Wall 3|ivy02 0wall
Ivydale Laundry|ivy02 0equip
Smith Chest 1 Item 1|smith03 0
Smith Chest 2 Item 1|smith03b 2
Smith Chest 3 Item 1|smith03b 0
Smith Chest 4 Item 1|smith03b 1
Smith Key 1|smith00 0key
Smith Key 3|smith04b 0key
Smith Key 4|smith04b 1key
Smith Key 2|smith04 0key
Smith Key 7|smith05 0key
Smith Key 6|smith05 1key
Smith Key 8|smith05 2key
Smith Key 5|smith06 0key
Smith Wall 1|smith00 0wall
Smith Wall 2|smith04 0wall
Smith Wall 3|smith04 1wall
Smith Wall 4|smith04 2wall
Forest Chest 4 Item 1|forest09b 0
Forest Chest 4 Item 2|forest09b 0
Forest Chest 3 Item 1|forest08 0
Forest Chest 3 Item 2|forest08 0
Forest Chest 3 Item 3|forest08 0
Forest Chest 3 Item 4|forest08 0
Forest Chest 3 Item 5|forest08 0
Forest Chest 3 Item 6|forest08 0
Forest Chest 2 Item 1|forest04c 0
Forest Chest 2 Item 2|forest04c 0
Forest Chest 1 Item 1|forest02 0
Forest Chest 1 Item 2|forest02 0
Forest Chest 1 Item 3|forest02 0
Forest Chest 1 Item 4|forest02 0
Forest Chest 1 Item 5|forest02 0
Forest Chest 1 Item 6|forest02 0
Forest Chest 1 Item 7|forest02 0
Forest Chest 1 Item 8|forest02 0
Forest Chest 1 Item 9|forest02 0
Forest Chest 1 Item 10|forest02 0
Forest Chest 1 Item 11|forest02 0
Forest Key 1|forest03 0key
Forest Key 2|forest07 0key
Forest Key 3|forest08 0key
Forest Key 4|forest08 1key
Forest Key 5|forest09 0key
Forest Key 6|forest11 0key
Forest Wall 1|forest07 0wall
Forest Wall 2|forest08c 0wall
Forest Wall 3|forest09 0wall
Forest Wall 4|forest09 1wall
Forest Haley Device|forest07 0equip
Poisioned Event Item 1|SideEvent 8 3 2
Poisioned Event Item 2|SideEvent 8 3 2
Cove Key 1|cove01b 0key
Cove Key 2|cove01b 1key
Cove Wall 1|cove01 0wall
Cove Teleport Stone|cove02 0equip
Cove Chest 1 Item 1|cove01 0
Cove Chest 1 Item 2|cove01 0
Cove Chest 1 Item 3|cove01 0
Cove Chest 1 Item 4|cove01 0
Farm Chest 1 Item 1|farm01 0
Farm Chest 1 Item 2|farm01 0
Farm Chest 1 Item 3|farm01 0
Farm Chest 1 Item 4|farm01 0
Farm Wall 1|farm01 0wall
Farm Wall 2|farm01 1wall
Farm Wall 3|farm01 2wall
Farm Wall 4|farm01 3wall
Farm Wall 5|farm01 4wall
Farm Wall 6|farm02 0wall
Farm Watch|farm02 0equip
Cave Wall 1|cave02b 0wall
Cave Wall 2|cave02b 1wall
Cave Key 1|cave02 0key
Cave Key 2|cave02b 0key
Cave Key 3|cave02b 1key
Cave Key 4|cave02b 2key
Cave Key 5|cave05b 0key
Cave Key 6|cave05b 1key
Cave Key 7|cave05b 2key
Cave Key 8|cave08 0key
Cave Key 9|cave12 0key
Cave Key 10|cave12b 0key
Cave Key 11|cave12b 1key
Cave Key 12|cave12b 2key
Cave Key 13|cave13 0key
Cave Key 14|cave19 0key
Cave Key 15|cave21 0key
Cave Key 16|cave21 1key
Cave Key 17|cave23 0key
Cave Key 18|cave27 0key
Cave Wall 4|cave12 0wall
Cave Wall 5|cave12 1wall
Cave Wall 6|cave13 0wall
Cave Wall 7|cave15 0wall
Cave Wall 9|cave27 0wall
Cave Wall 8|cave19 0wall
Cave Chest 2 Item 1|cave04 0
Cave Chest 9 Item 1|cave27 0
Cave Chest 8 Item 1|cave24 0
Cave Chest 8 Item 2|cave24 0
Cave Chest 8 Item 3|cave24 0
Cave Chest 8 Item 4|cave24 0
Cave Chest 8 Item 5|cave24 0
Cave Chest 8 Item 6|cave24 0
Cave Chest 7 Item 1|cave22 0
Cave Chest 6 Item 1|cave19b 0
Cave Chest 5 Item 1|cave17 0
Cave Chest 5 Item 2|cave17 0
Cave Chest 5 Item 3|cave17 0
Cave Chest 5 Item 4|cave17 0
Cave Chest 5 Item 5|cave17 0
Cave Chest 5 Item 6|cave17 0
Cave Chest 5 Item 7|cave17 0
Cave Chest 4 Item 1|cave05b 0
Cave Chest 4 Item 2|cave05b 0
Cave Chest 4 Item 3|cave05b 0
Cave Chest 3 Item 1|cave04 1
Cave Chest 3 Item 2|cave04 1
Cave Chest 3 Item 3|cave04 1
Cave Chest 3 Item 4|cave04 1
Cave Chest 1 Item 1|cave02 0
Cave Chest 1 Item 2|cave02 0
Cave Chest 1 Item 3|cave02 0
Cave Chest 1 Item 4|cave02 0
Cave Wall 3|cave05b 0wall
Cave Light Ring|Equip cave12 249 1
Cave Doenjang 1|Equip cave12 Doenjang 3
Cave Doenjang 2|Equip cave12 Doenjang 3
Cave Doenjang 3|Equip cave12 Doenjang 3
Cave Reed's Box|Equip cave12 ReedBox 1
Cave Sheep 1|Equip cave08 0 GappySheep 1
Cave Sheep 2|Equip cave12 0 GappySheep 1
Cave Sheep 3|Equip cave12 1 GappySheep 1
Cave Sheep 4|Equip cave13 0 GappySheep 1
Cave Sheep 5|Equip cave15 0 GappySheep 1
Cave Sheep 6|Equip cave21 0 GappySheep 1
Cave Red Moss 1|cave24 0equip
Cave Red Moss 2|cave24 1equip
Cave Red Moss 3|cave24 2equip
Cave Stick|cave14 0equip
Cave Red Orb|cave15 1equip
Meadow Key 1|grave03 0key
Meadow Key 2|grave04 0key
Meadow Key 3|grave04 1key
Meadow Key 4|grave04 2key
Meadow Key 5|grave07 0key
Meadow Key 6|grave07 1key
Meadow Key 7|grave11 0key
Meadow Key 8|grave20 0key
Meadow Key 9|grave21 0key
Meadow Key 10|grave21 1key
Meadow Key 11|grave21 2key
Meadow Key 12|grave23 0key
Meadow Key 13|grave24 0key
Meadow Key 14|grave24 1key
Meadow Key 15|grave13 0key
Meadow Key 16|grave13b 0key
Meadow Key 17|grave13b 1key
Meadow Key 18|grave13b 2key
Meadow Key 19|grave22 0key
Meadow Key 20|grave22 1key
Meadow Key 21|grave22 2key
Meadow Chest 11 Item 1|grave24 0
Meadow Chest 11 Item 2|grave24 0
Meadow Chest 11 Item 3|grave24 0
Meadow Chest 11 Item 4|grave24 0
Meadow Chest 11 Item 5|grave24 0
Meadow Chest 11 Item 6|grave24 0
Meadow Chest 10 Item 1|grave22 0
Meadow Chest 10 Item 2|grave22 0
Meadow Chest 10 Item 3|grave22 0
Meadow Chest 10 Item 4|grave22 0
Meadow Chest 10 Item 5|grave22 0
Meadow Chest 10 Item 6|grave22 0
Meadow Chest 9 Item 1|grave14 0
Meadow Chest 9 Item 2|grave14 0
Meadow Chest 8 Item 1|grave13 0
Meadow Chest 8 Item 2|grave13 0
Meadow Chest 8 Item 3|grave13 0
Meadow Chest 8 Item 4|grave13 0
Meadow Chest 7 Item 1|grave07 0
Meadow Wall 4|grave07 0wall
Meadow Wall 5|grave07 1wall
Meadow Wall 6|grave07 2wall
Meadow Wall 7|grave09 0wall
Meadow Wall 8|grave09 1wall
Meadow Wall 9|grave09 2wall
Meadow Wall 10|grave11 0wall
Meadow Wall 11|grave11 1wall
Meadow Wall 12|grave15 0wall
Meadow Wall 13|grave15 1wall
Meadow Wall 14|grave15 2wall
Meadow Wall 15|grave15 3wall
Meadow Wall 16|grave15 4wall
Meadow Wall 17|grave20 0wall
Meadow Wall 18|grave20 1wall
Meadow Wall 19|grave20 2wall
Meadow Wall 20|grave20 3wall
Meadow Wall 21|grave20 4wall
Meadow Wall 22|grave20 5wall
Meadow Wall 23|grave24 0wall
Meadow Wall 24|grave24 1wall
Meadow Wall 25|grave24 2wall
Meadow Wall 26|grave24 3wall
Meadow Chest 6 Item 1|grave05 0
Meadow Chest 5 Item 1|grave09 0
Meadow Chest 4 Item 1|grave08 0
Meadow Chest 3 Item 1|grave04 0
Meadow Wall 3|grave04 0wall
Meadow Chest 2 Item 1|grave03 0
Meadow Chest 2 Item 2|grave03 0
Meadow Chest 2 Item 3|grave03 0
Meadow Chest 2 Item 4|grave03 0
Meadow Chest 1 Item 1|grave01b 0
Meadow Chest 1 Item 2|grave01b 0
Meadow Chest 1 Item 3|grave01b 0
Meadow Wall 1|grave01b 0wall
Meadow Wall 2|grave03 0wall
Mansion A Item|mansiona02 0equip
Mansion A Key 1|mansiona01 0key
Mansion A Wall 1|mansiona01 0wall
Mansion A Wall 2|mansiona01 1wall
Mansion A Wall 3|mansiona01 2wall
Mansion A Wall 4|mansiona01 3wall
Mansion A Wall 5|mansiona01 4wall
Mansion A Wall 6|mansiona01 5wall
Mansion A Wall 7|mansiona01 6wall
