[~5,~4,~3,~0,~1,~2,~10,~12,~14,~15,~16,~17,321,322,323,324,325,326,328,330,331,332,333]
{[~4]}:tutorial1;
{[~0&tutorial1]}:tutorial2;
{[tutorial2&~14]}:cave1;
{[cave1&+322]}:cave2;
{[cave2&+331&+330&+332&+333]}:snow;
{[snow&~16&~15&~1&~2&~17&+324]}:lava;
intro01 0key:305,
intro01b 0:0,1,301,[305&tutorial1]
intro01b 0wall:4,[tutorial1]
intro01b 1wall:4,[tutorial1]
Equip intro02 0 5:0,0,0,0,0,[tutorial1]
intro02b 0:2,2,192,[tutorial2&305&~14]
intro02b 0wall:4,[tutorial2]
intro02b 1wall:4,[cave1]
intro05 0key:305,[tutorial1]
intro05 0:2,2,182,[305&tutorial1]
intro05 0wall:4,[tutorial1]
intro06 0key:305,[tutorial1]
intro06 1key:305,[tutorial1]
intro06 0wall:4,[tutorial1]
intro06 1wall:4,[tutorial1]
intro07 0key:305,[tutorial1]
intro07b 0key:305,[tutorial2]
intro07b 1key:305,[tutorial2]
intro07b 0:0,0,61,[305&tutorial1]
intro07b 0wall:4,[tutorial2]
intro07b 1wall:4,[tutorial2]
Blueprint intro07b 190 1:-190,[tutorial1]
intro08 0wall:4,[tutorial2]
intro08 1wall:4,[tutorial2]
intro08b 0wall:4,[tutorial2&~16]
intro08b 1wall:4,[tutorial2&~16]
intro08c 0key:305,[cave1]
intro08c 1key:305,[cave1]
intro08c 0wall:4,[cave1]
intro08c 1wall:4,[cave1]
sanc02 0equip:326,[tutorial2&305&305&305&305]
Blueprint village01 128 1:-128,[tutorial2]
Equip village01 TreasureKey 3:305,305,305,[tutorial2&+341]
village02 0:10,10,10,3,242,[tutorial2&305]
Equip village02alt0 BirthdayCake 2:20,20,[cave1&~16]
Equip village02alt0 301 2:301,301,[cave1&+339]
village03 0:10,300,62,[tutorial2&305]
Equip village03 307 2:307,307,[tutorial2]
Equip village03 16 3:16,16,16,[lava&~12]
village05 0key:305,[tutorial2]
village05 1key:305,[tutorial2]
village05 0wall:4,[tutorial2]
ivy01 0key:305,[cave1]
ivy01 1key:305,[cave1]
ivy01 1wall:4,[tutorial2&(~14|+325)]
ivy01 0wall:4,[tutorial2&(~14|+325)]
ivy02 0equip:338,[tutorial2]
ivy02 0wall:4,[tutorial2]
farm01 0:10,10,10,191,[tutorial2&305]
farm01 0wall:4,[tutorial2&(~12|~15)]
farm01 1wall:4,[tutorial2&(~12|~15)]
farm01 2wall:4,[tutorial2&(~12|~15)]
farm01 3wall:4,[tutorial2&(~12|~15)]
farm01 4wall:4,[tutorial2&(~12|~15)]
farm02 0wall:4,[tutorial2&(~12|~15)]
farm02 0equip:341,[tutorial2&(~12|~15)]
cove01 0:14,14,14,71,[tutorial2&305&~14]
cove01b 0key:305,[cave1&~16]
cove01b 1key:305,[cave1&~16]
cove01 0wall:4,[cave1&~16]
cove02 0equip:300,[cave1&~16]
forest02 0:124,1,1,1,1,1,1,1,1,1,1,[tutorial2&305]
forest03 0key:305,[tutorial2]
forest04c 0:301,200[tutorial2&305&~15&~16]
forest07 0key:305,[tutorial2]
forest07 0wall:4,[tutorial2&+321]
forest07 0equip:320,[tutorial2&+321]
forest08 0key:305,[tutorial2]
forest08 1key:305,[tutorial2]
forest08 0:12,12,12,14,300,305,[tutorial2&305&~15]
forest08c 0wall:4,[tutorial2]
forest09 0wall:4,[tutorial2]
forest09 1wall:4,[tutorial2]
forest09 0key:305,[tutorial2]
forest09b 0:16,132,[tutorial2&305&~16]
forest11 0key:305,[tutorial2]
smith00 0key:305,[tutorial2&~15&+321]
smith00 0wall:4,[tutorial2&~15&+321]
smith03 0:126,[tutorial2&305]
smith03b 2:301,[tutorial2&305]
smith03b 0:194,[tutorial2&305]
smith03b 1:65,[tutorial2&305]
smith04 0key:305,[tutorial2]
smith04 0wall:4,[tutorial2]
smith04 1wall:4,[tutorial2]
smith04 2wall:4,[tutorial2]
smith04b 0key:305,[tutorial2&+321&+322&+323&+324]
smith04b 1key:305,[tutorial2&+321&+322&+323]
smith05 0key:305,[tutorial2&~15&~14]
smith05 1key:305,[tutorial2&~15&~14]
smith05 2key:305,[tutorial2&~15&~14]
smith06 0key:305,[tutorial2]
SideEvent 8 3 2:3,3,[tutorial2]
cave02 0:127,12,12,12,[tutorial2&305]
cave02 0key:305,[tutorial2]
cave02b 0key:305,[cave1]
cave02b 1key:305,[cave1]
cave02b 2key:305,[cave1]
cave02b 0wall:4,[tutorial2]
cave02b 1wall:4,[tutorial2]
cave04 0:-252,[tutorial2&305]
cave04 1:10,10,10,-70,[tutorial2&305]
cave05b 0key:305,[tutorial2]
cave05b 1key:305,[tutorial2&~17]
cave05b 2key:305,[tutorial2&~17]
